productId,title,category,price,description,punchLine,image

CP-0001,Snow Veil,Paint Shades,59.5,"A crisp white with a hint of warmth — perfect for open, modern interiors.","Soft white, airy, minimal, fresh",assets/SnowVeil.jpg

CP-0002,Porcelain Mist,Paint Shades,59.5,"A gentle off-white that softens spaces with a cozy, inviting glow.","Warm neutral, beige, cozy, calm",assets/PorcelainMist.jpg

CP-0003,Stone Dusk,Paint Shades,59.5,"A balanced mix of gray and beige, ideal for grounding a room without heaviness.","Greige, muted, balanced, modern",assets/StoneDusk.jpg

CP-0004,Fog Harbor,Paint Shades,59.5,"A moody gray with blue undertones that feels sleek and contemporary.","Cool gray, stormy, industrial, sleek",assets/FogHarbor.jpg

CP-0005,Graphite Fade,Paint Shades,59.5,"A dark graphite shade that adds weight and sophistication to feature walls.","Charcoal, deep gray, moody, bold",assets/GraphiteFade.jpg

CP-0006,Obsidian Pearl,Paint Shades,59.5,"A rich black that creates contrast and drama while staying refined.","Black, matte, dramatic, luxe",assets/ObsidianPearl.jpg

CP-0007,Steel Sky,Paint Shades,59.5,"A mid-tone slate blue that feels steady, grounded, and architectural.","Slate, bluish gray, urban, cool",assets/SteelSky.jpg

CP-0008,Blue Ash,Paint Shades,59.5,"A softened navy with gray undertones — stylish but not overpowering.","Midnight, muted navy, grounding, refined",assets/BlueAsh.jpg

CP-0009,Cloud Drift,Paint Shades,59.5,"A breezy pastel blue that brings calm and a sense of open sky.","Pale blue, soft, tranquil, airy",assets/CloudDrift.jpg

CP-0010,Silver Shore,Paint Shades,59.5,"A frosty gray with subtle silver hints — sharp, bright, and clean.","Cool gray, icy, clean, modern",assets/SilverShore.jpg

CP-0011,Seafoam Light,Paint Shades,59.5,"A soft seafoam tone that feels breezy and coastal without being too bold.","Pale green, misty, fresh, coastal",assets/SeafoamLight.jpg

CP-0012,Quiet Moss,Paint Shades,59.5,"A sage-infused gray that adds organic calm to any interior palette.","Sage gray, organic, muted, grounding",assets/QuietMoss.jpg

CP-0013,Olive Stone,Paint Shades,59.5,"A grounded olive shade that pairs well with natural textures like wood and linen.","Earthy, muted green, natural, rustic",assets/OliveStone.jpg

CP-0014,Verdant Haze,Paint Shades,59.5,"A muted teal that blends serenity with just enough depth for modern accents.","Soft teal, subdued, calming, serene",assets/VerdantHaze.jpg

CP-0015,Glacier Tint,Paint Shades,59.5,"A barely-there aqua that brings a refreshing, clean lift to light spaces.","Pale aqua, refreshing, crisp, airy",assets/GlacierTint.jpg

CP-0016,Pine Shadow,Paint Shades,59.5,"A forest-tinged gray with a natural edge, anchoring without feeling heavy.","Forest gray, cool green, earthy, grounding",assets/PineShadow.jpg
